,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
0,(주)보성 세곡주유소,SK에너지,서울 강남구  헌릉로 731 (세곡동),"1,663","1,839",ON,OFF,OFF,OFF,OFF
1,방죽주유소,GS칼텍스,서울 강남구 밤고개로 215 (율현동),"1,687","1,899",ON,OFF,OFF,OFF,OFF
2,현대오일뱅크(주)직영 산성셀프주유소,현대오일뱅크,서울 강남구 헌릉로 730,"1,689","1,879",ON,OFF,OFF,OFF,OFF
3,자곡셀프주유소,SK에너지,서울 강남구 밤고개로 120 (자곡동),"1,727","1,898",ON,OFF,OFF,OFF,OFF
4,대교주유소,SK에너지,서울 강남구 강남대로 640 (신사동),"1,730","1,910",OFF,OFF,OFF,OFF,OFF
5,오일프러스 셀프,SK에너지,서울 강남구 남부순환로 2651 (도곡동),"1,735","1,898",ON,OFF,ON,OFF,ON
6,현대오일뱅크 도곡셀프주유소,현대오일뱅크,서울 강남구  남부순환로 2718 (도곡2동),"1,735","1,873",ON,OFF,ON,OFF,OFF
7,(주)중앙에너비스 수서지점,SK에너지,서울 강남구 광평로 202 (수서동),"1,747","1,917",ON,OFF,OFF,OFF,OFF
8,일원주유소,S-OIL,서울 강남구 양재대로55길 3 (일원동),"1,747","1,999",OFF,OFF,OFF,OFF,OFF
9,현대오일뱅크(주) 유진주유소,현대오일뱅크,서울 강남구 논현로 152 (도곡동),"1,750","1,888",ON,OFF,ON,OFF,OFF
10,SK에너지㈜ 진달래주유소,SK에너지,서울 강남구 도곡로 208,"1,769","1,929",ON,OFF,OFF,OFF,OFF
11,SK서광주유소,SK에너지,서울 강남구 역삼로 142,"1,775","1,880",ON,OFF,OFF,OFF,ON
12,SK에너지(주) 매봉주유소,SK에너지,서울 강남구 언주로 307,"1,779","1,969",ON,OFF,ON,OFF,OFF
13,(주)선진도곡주유소,S-OIL,서울 강남구 도곡로 162 (도곡동),"1,779","1,969",ON,OFF,ON,OFF,OFF
14,지에스칼텍스㈜에너지플러스허브GS타워,GS칼텍스,서울 강남구 논현로 516 (역삼동),"1,784","1,973",OFF,OFF,ON,OFF,ON
15,(유)동하석유 힐탑셀프주유소,SK에너지,서울 강남구 논현로 640,"1,797","1,997",ON,OFF,OFF,OFF,ON
16,대동석유 압구정주유소,SK에너지,서울 강남구 언주로 842 (신사동),"1,797","1,977",ON,OFF,OFF,OFF,ON
17,에스제이에너지산업(주) 개포주유소,GS칼텍스,서울 강남구 양재대로 339,"1,798","2,178",ON,OFF,OFF,OFF,OFF
18,에쓰-오일㈜직영 개나리주유소,S-OIL,서울 강남구 언주로 423 (역삼동),"1,829","2,029",ON,OFF,OFF,OFF,ON
19,현대오일뱅크(주)직영 신사현대주유소,현대오일뱅크,서울 강남구 도산대로 163 (신사동),"1,898","1,984",ON,OFF,OFF,OFF,OFF
20,삼성동주유소,현대오일뱅크,서울 강남구 테헤란로 619 (삼성동),"1,909","2,029",ON,OFF,OFF,OFF,OFF
21,지에스칼텍스㈜ 은마주유소,GS칼텍스,서울 강남구 영동대로 235,"1,912","2,049",ON,OFF,ON,OFF,ON
22,현대오일뱅크(주)직영 한양주유소,현대오일뱅크,서울 강남구 압구정로 302 (신사동),"1,947","1,994",ON,OFF,OFF,OFF,OFF
23,대성석유(주)동호주유소,GS칼텍스,서울 강남구 봉은사로113길 51,"1,979","2,122",OFF,OFF,OFF,OFF,OFF
24,(주)소모에너지 쎈트럴주유소,GS칼텍스,서울 강남구 삼성로 335,"1,998","2,099",ON,OFF,OFF,OFF,OFF
25,지에스칼텍스㈜ 삼성로주유소,GS칼텍스,서울 강남구 삼성로 563 (삼성동),"1,998","2,099",ON,OFF,OFF,OFF,ON
26,지에스칼텍스(주)학여울주유소,GS칼텍스,서울 강남구 남부순환로 3170 (일원2동),"2,044","2,192",ON,OFF,OFF,OFF,OFF
27,명품주유소,S-OIL,서울 강남구 도곡로 249 (역삼동),"2,197","2,279",ON,OFF,OFF,OFF,ON
28,㈜새서울석유 새서울주유소,현대오일뱅크,서울 강남구 압구정로 154,"2,198","2,289",ON,OFF,OFF,OFF,ON
29,대청주유소,SK에너지,서울 강남구 개포로 654 (일원동),"2,246","2,299",ON,OFF,OFF,OFF,OFF
30,(주)새서울네트웍스 제이제이주유소,현대오일뱅크,서울 강남구 언주로 716,"2,248","2,437",ON,OFF,OFF,OFF,ON
31,SK논현주유소,SK에너지,서울 강남구 논현로 747 (논현동),"2,345","2,375",ON,OFF,ON,OFF,ON
32,갤러리아주유소,SK에너지,서울 강남구 압구정로 426,"2,362","2,377",ON,OFF,OFF,OFF,OFF
33,(주)만정에너지 삼보주유소,GS칼텍스,서울 강남구 봉은사로 433 (삼성동),"2,598","2,590",ON,OFF,OFF,OFF,OFF
34,재건에너지 재정제2주유소 고속셀프지점,현대오일뱅크,서울특별시 강동구  천호대로 1246 (둔촌제2동),"1,669","1,839",ON,OFF,OFF,OFF,OFF
35,재건에너지 재정제2주유소 고속셀프지점,현대오일뱅크,서울특별시 강동구  천호대로 1246 (둔촌제2동),"1,669","1,839",ON,OFF,OFF,OFF,OFF
36,구천면주유소,현대오일뱅크,서울 강동구 구천면로 357 (암사동),"1,684","1,865",OFF,OFF,OFF,OFF,OFF
37,(주)소모에너지 신월셀프주유소,GS칼텍스,서울 강동구 양재대로 1323 (성내동),"1,695","1,868",ON,OFF,OFF,OFF,OFF
38,방아다리주유소,SK에너지,서울 강동구 동남로 811 (명일동),"1,695","1,895",ON,OFF,OFF,OFF,OFF
39,(주)삼표에너지 고덕주유소,GS칼텍스,서울 강동구 고덕로 39 (암사동),"1,726","1,879",ON,OFF,OFF,ON,OFF
40,대성석유(주)길동주유소,GS칼텍스,서울 강동구 천호대로 1168,"1,736","1,899",ON,OFF,OFF,OFF,OFF
41,sk해뜨는주유소,SK에너지,서울 강동구  상일로 132 (강일동),"1,755","1,899",ON,OFF,ON,OFF,OFF
42,지에스칼텍스㈜ 동서울주유소,GS칼텍스,서울 강동구 천호대로 1456 (상일동),"1,758","1,993",ON,OFF,OFF,OFF,OFF
43,주)지유에너지직영 오렌지주유소,SK에너지,서울 강동구 성안로 102 (성내동),"1,796","1,896",ON,OFF,ON,OFF,OFF
44,(주)퍼스트오일 코알라주유소,S-OIL,서울특별시 강동구  올림픽로 556 (성내동),"1,798","1,928",ON,OFF,OFF,OFF,OFF
45,(주)소모에너지 성내주유소,GS칼텍스,서울 강동구 올림픽로 578 (성내동),"1,798","1,898",ON,OFF,ON,OFF,OFF
46,천호현대주유소,현대오일뱅크,서울 강동구 천중로 67 (천호동),"1,848","2,051",ON,OFF,ON,OFF,OFF
47,광성주유소,S-OIL,서울 강동구 올림픽로 673 (천호동),"1,978","2,108",ON,OFF,ON,OFF,ON
48,(주)석산에너지,현대오일뱅크,서울 강북구 삼양로 316 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,OFF
49,SK에너지(주) 매일주유소,SK에너지,서울 강북구 삼양로 217 (미아동),"1,625","1,845",ON,OFF,OFF,ON,OFF
50,수유동주유소,GS칼텍스,서울 강북구 도봉로 395 (수유동),"1,625","1,795",ON,OFF,OFF,OFF,ON
51,북서울고속주유소,SK에너지,서울 강북구 삼양로 410 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,ON
52,(주)서울에너지 시민주유소,현대오일뱅크,서울 강북구 인수봉로 185 (수유동),"1,625","1,795",OFF,OFF,OFF,OFF,OFF
53,덕릉로주유소,S-OIL,서울 강북구 덕릉로 158 (번동),"1,635","1,825",ON,OFF,OFF,OFF,OFF
54,씨앤에스유통㈜ 미아셀프주유소,S-OIL,서울 강북구 도봉로 200 (미아동),"1,635","1,825",ON,OFF,OFF,OFF,OFF
55,현대오일뱅크(주)직영 번동셀프주유소,현대오일뱅크,서울 강북구 한천로 963 (번동),"1,637","1,827",ON,OFF,ON,OFF,ON
56,세원주유소,SK에너지,서울 강북구 한천로 918 (번동),"1,658","1,848",ON,OFF,OFF,OFF,OFF
57,대성석유(주)신광주유소,GS칼텍스,서울 강북구 삼양로 484,"1,665","1,855",ON,OFF,ON,OFF,OFF
58,에덴주유소,SK에너지,서울 강북구 월계로 195 (번동),"1,689","1,879",ON,OFF,ON,OFF,OFF
59,화곡역주유소,알뜰주유소,서울 강서구 강서로 154 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,ON
60,뉴신정주유소,알뜰주유소,서울 강서구 곰달래로 207 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,OFF
61,뉴신정주유소,알뜰주유소,서울 강서구 곰달래로 207 (화곡동),"1,574","1,825",OFF,OFF,OFF,OFF,OFF
62,이케이에너지(주) 강서주유소,현대오일뱅크,서울 강서구 화곡로 273 (화곡동),"1,574","1,807",ON,OFF,ON,OFF,OFF
63,강서오곡셀프주유소,SK에너지,서울 강서구 벌말로 254 (오곡동),"1,585","1,885",ON,OFF,OFF,OFF,ON
64,KH에너지(주)직영 KH외발산주유소,SK에너지,서울 강서구 방화대로 30,"1,597","1,842",ON,ON,ON,ON,OFF
65,지에스칼텍스㈜ 경인고속주유소,GS칼텍스,서울 강서구 국회대로 225 (화곡동),"1,610","1,849",ON,ON,ON,OFF,ON
66,방화주유소,SK에너지,서울 강서구 방화동로 58-2 (방화동),"1,613","1,833",OFF,OFF,OFF,OFF,OFF
67,행촌에너지 공항주유소,현대오일뱅크,서울 강서구 개화동로 420 (개화동),"1,614","1,834",ON,OFF,ON,ON,ON
68,행촌에너지 공항주유소,현대오일뱅크,서울 강서구 개화동로 420 (개화동),"1,614","1,834",ON,OFF,ON,ON,ON
69,스카이주유소,S-OIL,서울 강서구 개화동로 457 (방화동),"1,639","1,865",ON,OFF,OFF,OFF,ON
70,개화주유소,SK에너지,서울 강서구 양천로 57,"1,647","1,867",ON,OFF,OFF,OFF,OFF
71,(주)한진 김포공항주유소,S-OIL,서울 강서구 하늘길 259,"1,649","1,849",ON,OFF,OFF,OFF,OFF
72,현대오일뱅크 등촌주유소,현대오일뱅크,서울 강서구 등촌로 189 (등촌동),"1,666","1,866",ON,OFF,OFF,OFF,OFF
73,화곡현대주유소,SK에너지,서울 강서구 강서로 151 (화곡동),"1,667","1,886",ON,OFF,OFF,OFF,ON
74,강서열린주유소,GS칼텍스,서울 강서구 등촌로 213 (등촌동),"1,668","1,838",ON,OFF,OFF,OFF,OFF
75,신화곡주유소,S-OIL,서울 강서구 국회대로 71,"1,675","1,895",ON,OFF,OFF,OFF,OFF
76,하이웨이주유소,S-OIL,서울특별시 강서구 공항대로 432(화곡동),"1,677","1,897",ON,OFF,OFF,ON,ON
77,현대오일뱅크 양화교주유소,현대오일뱅크,서울 강서구 공항대로 653,"1,682","1,865",ON,OFF,OFF,OFF,OFF
78,현대오일뱅크(주) 가양주유소,현대오일뱅크,서울 강서구  양천로 391 (가양동),"1,690","1,848",ON,OFF,OFF,OFF,OFF
79,우장산주유소,SK에너지,서울 강서구 강서로 292 (내발산동),"1,695","1,895",OFF,OFF,OFF,OFF,OFF
80,대성석유(주)방화대성주유소,GS칼텍스,서울 강서구 양천로 176,"1,696","1,898",ON,OFF,OFF,ON,OFF
81,오션네트웍스(주) 서울식물원지점,SK에너지,서울 강서구 양천로 300,"1,696","1,878",OFF,OFF,OFF,OFF,OFF
