,title,isbn,publisher,pubdate,language
0,Java의 정석 (최신 Java 8.0 포함),9788994492032,도우출판,20160127,Java
1,JAVA (9th edition),9788993163704,이한미디어,20200901,Java
2,Java의 정석: 기초편 세트,9788994492049,도우출판,20191230,Java
3,이것이 자바다 (교육 현장에서 가장 많이 쓰이는 JAVA 프로그래밍의 기본서),9791169210027,한빛미디어,20220905,Java
4,JAVA (Java Programming for beginners teaching you basic to advanced JAVA programming skills!),9781761032882,Ingram Publishing,20200331,Java
5,Java,9783732662708,Outlook Verlag,20180406,Java
6,Java,9783842418875,TREDITION CLASSICS,20111027,Java
7,Java (An Introduction to Problem Solving & Programming),9780132774154,Addison Wesley Longman,20110616,Java
8,Java (An Introduction to Problem Solving & Programming),9780133841084,Addison-Wesley Professional,20140219,Java
9,Java (Just in Time),9780470714300,John Wiley & Sons Inc,20100126,Java
10,Java (An Introduction to Problem Solving & Programming),9780132766067,Addison-Wesley Professional,20110606,Java
11,혼자 공부하는 자바 (JAVA 8 & 11 지원/무료 동영상 강의 제공),9791162241875,한빛미디어,20190610,Java
12,JAVA 7 (기본부터 심화까지 해결하는 문제 해결의 길잡이),9788968480546,한빛미디어,20131101,Java
13,JAVA 5 (UPGRADE),9788970184746,기한재,20070907,Java
14,절대 JAVA (자바프로그래밍의 기초부터 안드로이드까지),9788992649889,인피니티북스,20140122,Java
15,Java 카페 (처음 만나는 자바프로그래밍),9791156006756,도서출판 홍릉(홍릉과학출판사),20190628,Java
16,Power JAVA,9791185578989,인피니티북스,20220225,Java
17,Java 홀릭,9791185123097,북스홀릭퍼블리싱,20140212,Java
18,"The Java Language Specification, Java SE 8 Edition (Java Se)",9780133900699,Addison-Wesley Professional,20140506,Java
19,JAVA 언어,9788970186863,기한재,20130325,Java
20,실무에서 바로 통하는 자바 (Java 8 대응),9788968488627,한빛미디어,20170701,Java
21,JAVA의 기초,9788992583688,오성미디어,20100301,Java
22,C언어 & JAVA (중등교원임용시험대비 C언어 & JAVA 완벽 가이드),9788964256237,배움,20170102,Java
23,Java 프로그래밍 (Java 6 7 8),9788956746388,정보문화사,20150920,Java
24,モダンJava,9784774158785,技術評論社,20130820,Java
25,Java Se 6 (The Complete Reference),9780072263855,McGraw-Hill Osborne Media,20061101,Java
26,Java 반양장,9780131483989,Prentice-Hall,20040805,Java
27,Java 반양장 (A Beginner’s Guide),9780071606325,McGraw-Hill/Osborne Media,20120220,Java
28,개념있는 JAVA (기초 개념부터 친절하게 설명하는 완벽한 JAVA 강의),9788931459562,영진닷컴,20190110,Java
29,On Java Road,9781781090817,Random House,20220804,Java
30,Java 200제 (Java 프로그래밍 시작을 위한 입문서),9788956745909,정보문화사,20130729,Java
31,Java本格入門 (モダンスタイルによる基礎からオブジェクト指向.實用ライブラリまで),9784774189093,技術評論社,20170418,Java
32,JAVA 입문 교실 (제3판),9788931552881,성안당,20140520,Java
33,객체 중심 JAVA (안드로이드를 이용한 색다른 UI 실습),9788965400035,프리렉,20101101,Java
34,Big Java,9781118318775,Wiley-Blackwell,20130402,Java
35,JAVA 프로그래밍 (실무 예제(Lotto)로 따라 배우는),9791156005889,도서출판 홍릉(홍릉과학출판사),20180330,Java
36,Power JAVA,9788992649865,인피니티북스,20121022,Java
37,Good JAVA,9791156642442,한빛아카데미,20160212,Java
38,Java 프로그래밍,9788996409748,인투북스,20110905,Java
39,Just JAVA (객체지향에 충실한 자바다운 자바),9791156642015,한빛아카데미,20151026,Java
40,자바(Java) 1학년 (체험으로 배우고 대화 형식으로 공부하는 프로그래밍의 구조),9788931555691,성안당,20190109,Java
41,Java Head,9781716672835,Lulu.com,20200806,Java
42,명쾌한 JAVA 입문 (248개의 예제 프로그램과 278개의 일러스트가 가득한),9788931437225,영진닷컴,20080805,Java
43,Java 프로그래밍,9788984688230,21세기사,20190304,Java
44,JAVA 프로그래밍 (미니 프로젝트로 배우는),9788980009091,복두출판사,20130830,Java
45,JAVA 언어의 활용,9788972838418,도서출판 홍릉(홍릉과학출판사),20100228,Java
46,JAVA 쉽게 배우기 (J2SE 1.6을 중심으로),9788980812608,현우사,20090220,Java
47,Java 프로그래밍 (자바 이런거였어?),9788980782987,가메,20180808,Java
48,쉬운 Java 교과서 (Java를 가장 빨리 배울 수 있는 방법),9788984685413,21세기사,20140825,Java
49,JAVA 프로그래밍,9788984685604,21세기사,20150125,Java
50,Java Girl (A Romance of the Dutch East Indies),9781934431337,DatASIA,20200101,Java
51,Core Java,9789351649847,Repro Knowledgcast Ltd,20160116,Java
52,에센셜 JAVAFX (모바일 데스크탑과 웹용 애플리케이션 개발툴),9788964200346,케이앤피IT,20101118,Java
53,JAVA 별거 아니네 (프로그래밍 초급자를 위한 입문서),9788931552669,성안당,20131210,Java
54,Core Java (Advanced Features #3),9781499642711,CreateSpace Independent Publishing Platform,20140521,Java
