,title,isbn,publisher,pubdate,language
0,혼자 공부하는 파이썬 (1:1 과외하듯 배우는 프로그래밍 자습서),9791162245651,한빛미디어,20220601,Python
1,파이썬 웹 스크레이핑 완벽 가이드 (파이썬 기초문법부터 스트림릿을 이용한 웹 앱 제작과 카카오 API 활용까지),9791158393571,위키북스,20220927,Python
2,"파이썬과 40개의 작품들 (자동화, 크롤링, 이미지처리, 데이터분석, 웹페이지, GUI 프로그램, 게임)",9791185553931,앤써북,20220228,Python
3,CODING BASICS PYTHON (파이썬),9788959604210,렉스미디어닷넷,20220210,Python
4,파이썬,9788970506784,생능출판,20220309,Python
5,파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),9791158393229,위키북스,20220421,Python
6,밑바닥부터 시작하는 딥러닝 (파이썬으로 익히는 딥러닝 이론과 구현),9788968484636,한빛미디어,20170103,Python
7,파이썬 (제2판),9791166750991,북두,20220120,Python
8,Do it! 점프 투 파이썬 (이미 200만명이 이 책으로 프로그래밍을 시작했다!),9791163030911,이지스퍼블리싱,20190620,Python
9,파이썬,9788970509723,생능출판,20190228,Python
10,CPython 파헤치기 (따라 하면서 이해하는 파이썬 내부의 동작 원리),9788966263677,인사이트,20220923,Python
11,파이썬,9788970187990,기한재,20200225,Python
12,Do it! 알고리즘 코딩 테스트: 파이썬 편 (코딩 테스트를 처음 준비하는 취준생의 필독서!),9791163033936,이지스퍼블리싱,20220816,Python
13,파이썬 텍스트 마이닝 완벽 가이드 (자연어 처리 기초부터 딥러닝 기반 BERT 모델까지),9791158393007,위키북스,20220218,Python
14,파이썬,9791185578330,인피니티북스,20170830,Python
15,파이썬 (비전공자를위한 파이썬 기초 입문서),9791186179369,에듀웨이,20190525,Python
16,파이썬,9791159069048,복두출판사,20200820,Python
17,파이썬,9791156006978,도서출판 홍릉(홍릉과학출판사),20190902,Python
18,파이썬,9788980815197,현우사,20180305,Python
19,파이썬 (제4판),9788970938981,광문각,20180530,Python
20,파이썬,9788970508658,생능출판,20160831,Python
21,파이썬,9788980815180,현우사,20180305,Python
22,파이썬 (다양한 예제로 알로리즘 쉽게 분석하기),9791188577255,다본,20190410,Python
23,파이썬,9788920028892,에피스테메,20180302,Python
24,파이썬,9788970508504,생능출판,20160205,Python
25,"안녕, 파이썬",9791168361621,북랩,20220314,Python
26,단단한 파이썬 (더 깔끔하고 관리가 쉬운 파이썬 코드를 위해),9791161756677,에이콘출판,20220824,Python
27,디딤돌 파이썬 (구조적 프로그래밍으로 설명한 파이썬 기초),9791192373058,인피니티북스,20220823,Python
28,파이썬 3 (프로그래밍을 배우기에 가장 재미있는 언어),9788968482359,한빛미디어,20160210,Python
29,새내기 파이썬,9788970505558,생능출판,20220630,Python
30,파이썬 연습 (개정판),9788957273357,그린,20220225,Python
31,파이썬 스타트 (AI로 가는 첫걸음),9791192373027,인피니티북스,20220628,Python
32,파이썬 훈련소,9791137289482,부크크(bookk),20220719,Python
33,으뜸 파이썬 (프로그래밍을 사랑하는 두 교수가 작정하고 쓴),9788970503691,생능출판,20200217,Python
34,파이썬 기초 실습,9791192373010,인피니티북스,20220427,Python
35,스타트 파이썬 (예제로 시작하는 파이썬 코딩),9791192038049,인포앤북,20220222,Python
36,"파이썬 프로그래밍 (Step by Step 처음 시작하는, 개정판)",9788980783120,가메,20220907,Python
37,클린 파이썬 (효과적인 파이썬 코딩 기법),9791161755113,에이콘출판,20210416,Python
38,누구나 파이썬 (기초부터 시작하는 코딩과 데이터 분석),9791188829231,디스커버리미디어,20220110,Python
39,파이썬 입문 (3step으로 확실하게 배우는),9791162262979,시그마프레스,20210105,Python
40,25시간만에 배우는 머신러닝 예제 (파이썬 활용),9791188145324,이모션미디어,20180131,Python
41,"전문가를 위한 파이썬 프로그래밍 (애플리케이션 구축,유지보수,패키징,배포 등 모던 파이썬 개발 마스터하기)",9791192469201,제이펍,20220812,Python
42,파이썬과 데이터 과학 (파이썬으로 시작하는 데이터 과학과 기계학습),9788970504773,생능출판,20201228,Python
43,파이썬 정복 (파이썬 개발에 필요한 기본 지식을 모두 담은 파이썬 입문서),9791162240540,한빛미디어,20180402,Python
44,파이썬의 신 (프로그래밍 언어를 배운다는 것),9788997924271,로드북,20190214,Python
45,파이썬 코딩,9788996700821,캐멀컨설팅,20170717,Python
46,달구나 파이썬!,9791188831999,연두에디션,20211201,Python
47,파이썬 연습,9788957273012,그린,20200227,Python
48,이것이 취업을 위한 코딩 테스트다 with 파이썬 (취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드),9791162243077,한빛미디어,20200805,Python
49,ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 파이썬 활용 (파이썬 활용),9791187541660,지오북스,20191101,Python
50,"파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비 (국가공인/국가기술 자격, 파이썬의 기초부터 심화까지 모두 잡는 핵심요약, 실제출제경향을 반영한 기출동형 모의고사 3회분)",9791138321853,시대고시기획,20220603,Python
51,똑똑한 파이썬 (주니어를 위한 최적의 코딩 학습서),9791196440985,인포앤북,20210601,Python
52,파이썬 수치해석,9791189057312,휴먼싸이언스,20220218,Python
53,Wonder 파이썬 (놀랍도록 쉬운 파이썬 기초),9791192373034,인피니티북스,20220708,Python
54,파이썬 코딩 실습(기본편),9791165366407,좋은땅,20200727,Python
55,라이노 파이썬,9791160033236,창조와지식,20210621,Python
56,"파이썬 스킬 업 (기초를 넘어서, 파이썬을 파이썬답게 사용하자!)",9791165215675,길벗,20210531,Python
57,마케터의 파이썬 (코딩의 C도 모르는 우리들을 위한 맞춤 프로그래밍 가이드),9791157832361,e비즈북스,20220126,Python
58,고성능 파이썬 (파이썬 성능 잠재력을 끌어내는 실용적인 개발 전략서),9791162244210,한빛미디어,20210510,Python
59,파이썬 챌린지 (150개의 코딩 과제로 배운다),9791191600018,제이펍,20210512,Python
60,파이썬 기반 금융 인공지능 (파이썬과 케라스를 활용한 금융 시계열 데이터 기반 알고리즘 트레이딩전략),9791169210300,한빛미디어,20220928,Python
61,파이썬의 정석 (파이썬 본질에 집중하다),9791186710623,루비페이퍼,20210301,Python
62,"진지한 파이썬 (파이썬 작동 원리에서 확장, 테스트, 배포, 최적화까지)",9791162243794,한빛미디어,20210125,Python
63,연오의 파이썬 (친절한 개념 설명과 체계적인 예제로 배우는),9788966262823,인사이트,20201231,Python
64,나혼자 파이썬,9788960883635,디지털북스,20201210,Python
65,파이썬 첫걸음 (슈퍼히어로처럼 파이썬을 배우자),9791191198010,잇플,20201228,Python
66,"파이썬 자동화 교과서 (업무 생산성을 3배 높이는 엑셀, 워드, 크롤링, 메일 자동화 기술)",9791192469195,제이펍,20220719,Python
67,파이썬 알고리즘,9788970504797,생능출판,20210128,Python
68,"파이썬 매일 코딩 (매일 10분, 50가지 연습 문제로 키우는 파이썬 코딩 실력!)",9791165217884,길벗,20211130,Python
69,모두의 파이썬 (20일 만에 배우는 프로그래밍 기초),9791160505856,길벗,20181009,Python
70,나의 첫 파이썬 (전 세계가 선택한 프로젝트 기반 프로그래밍 입문서),9791162243060,한빛미디어,20200701,Python
71,AI 수학 with 파이썬 (한 권으로 배우는 인공지능 수학 첫걸음),9788931463378,영진닷컴,20210115,Python
72,바로 쓰는 파이썬,9788952128867,서울대학교출판문화원,20190228,Python
73,파이썬 데이터 분석,9788970505602,생능출판,20220225,Python
74,유쾌한 파이썬 (데이터 수집 분석 통계 은닉 암호화 기술),9788960777880,에이콘출판,20151130,Python
75,모두의 파이썬 (20일 만에 배우는 프로그래밍 기초),9791186978894,길벗,20160509,Python
76,파파와 파이썬,9791196291006,아이캔디,20180201,Python
